id	filename	md5	size	state
3396edba-0d2a-4485-ad0a-5114b38c1abe	2e64abe2-6024-4d28-9e09-560ce2a9fd15.rna_seq.augmented_star_gene_counts.tsv	25a162e0b1fa52e5a06881efcb56784e	4231290	released
d2e2915c-125e-45c6-b7f3-6a815b3d2859	96a45a70-d4b5-4090-b603-73b7379679d6.rna_seq.augmented_star_gene_counts.tsv	e46cabde61f942e44cea63c347f1e5f2	4247897	released
f7b5d569-1a46-4f23-bfca-a46daacda793	ad8c55ae-46df-43cd-8cb5-c049e3019959.rna_seq.augmented_star_gene_counts.tsv	9496060bfe3c082b8616e80dc1a07435	4249311	released
ecf9996e-0cba-4394-9f5a-51fceab1ac56	47bdf86d-922f-4615-b7dc-8b19a0cbcf60.rna_seq.augmented_star_gene_counts.tsv	27420b6f209b66d648fc5fcfac5a5c7f	4232687	released
870fb4d4-8366-4bfa-b4c1-04d55eded427	3ef3fd4b-ed5b-41e1-8096-c573cf609bd3.rna_seq.augmented_star_gene_counts.tsv	29c6ef50a3771244a6aff798945edd05	4243363	released
561bb38a-f9b8-4a0a-b03b-fbe70859869a	cab9ff29-e575-45e2-a411-1bfdc2e2610c.rna_seq.augmented_star_gene_counts.tsv	d61000ee398e7cd3cb03fe42227c7154	4241658	released
1d0878a6-5c7c-40b9-8eab-64981d783b71	44df0b54-867f-4aef-8769-5d3fa8887b94.rna_seq.augmented_star_gene_counts.tsv	b091d577989335f50834405de1250284	4260022	released
398fa6bf-78af-473b-8f2c-a2b3b605131f	a852a227-c31f-410f-baee-81135917a7d2.rna_seq.augmented_star_gene_counts.tsv	300bd799d99d4968aa1eb35bbd6385ea	4245036	released
b1d29048-b913-40d9-bb58-97c107b95e8d	3719879b-e7b9-42b4-974c-f69735086cad.rna_seq.augmented_star_gene_counts.tsv	12f25f309067c13ff17c30e590ca2c94	4264805	released
4b445a8f-b60b-44c3-b501-de93010172f7	ce098c6d-1b12-48df-bbbb-4f1ea8788942.rna_seq.augmented_star_gene_counts.tsv	29de4115d6407c183370b2c903aba307	4237908	released
9568dc22-f91c-44dd-95ec-370466ee64c3	17985496-652a-4034-997b-b888d97316e3.rna_seq.augmented_star_gene_counts.tsv	2a9359a8b6c227c3ab2c850e06decd2c	4252582	released
f7619693-b880-408e-8be5-f266f61a403e	a2b566c2-bdbc-41c0-a9dc-8207582e1a51.rna_seq.augmented_star_gene_counts.tsv	cc04df3009ce8a46ed67749c494d9754	4239612	released
6d17023b-03fd-4e66-9c7e-72395f09e87f	4591685a-dc4c-4049-aced-8278c715c890.rna_seq.augmented_star_gene_counts.tsv	39192b574517e34cf17e91f36475cb4a	4233479	released
3e5dce7b-3f1e-4b43-b83e-8c0fc654e9c4	1b392450-2b27-4dce-9205-7de33a64ba42.rna_seq.augmented_star_gene_counts.tsv	8b9fd2c868940ce2c001e9b5483528a6	4272362	released
d53192c4-2356-4b6c-b98f-19eded7b7e29	6733afa1-b0b8-440e-b54c-98e5fdec854c.rna_seq.augmented_star_gene_counts.tsv	c05cf098bb377a879d242dff23c8ce2d	4235466	released
